,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
123,lorengau,PG,2020-10-10 12:19:46,-2.02,147.27,100,80,78.33200000000002,3.22
124,sindor,RU,2020-10-10 12:19:46,62.86,51.89,100,96,48.38000000000004,2.69
125,port hardy,CA,2020-10-10 12:19:47,50.7,-127.42,75,93,48.469999999999956,4.6
126,roald,NO,2020-10-10 12:19:47,62.58,6.13,40,81,50.26999999999996,7.7
127,thompson,CA,2020-10-10 12:19:47,55.74,-97.86,90,86,28.66999999999996,2.6
128,mar del plata,AR,2020-10-10 12:16:38,-38,-57.56,2,42,65.26400000000004,4.1
129,qaanaaq,GL,2020-10-10 12:19:47,77.48,-69.36,98,87,28.52599999999999,3.35
130,aja,EG,2020-10-10 12:19:47,30.94,31.29,0,71,73.076,2.64
131,bodden town,KY,2020-10-10 12:19:47,19.28,-81.25,40,74,88.26799999999999,4.6
132,dikson,RU,2020-10-10 12:19:47,73.51,80.55,100,95,32.70199999999998,8.93
133,dingle,PH,2020-10-10 12:19:47,11,122.67,97,89,76.98200000000003,1.08
134,flin flon,CA,2020-10-10 12:19:48,54.77,-101.86,90,86,34.06999999999996,4.1
135,melfort,CA,2020-10-10 12:19:48,52.87,-104.62,1,65,46.66999999999996,9.3
136,iskateley,RU,2020-10-10 12:19:48,67.68,53.15,90,90,45.76999999999996,3.65
137,vao,NC,2020-10-10 12:19:48,-22.67,167.48,41,88,72.62599999999999,8.35
138,bocanda,CI,2020-10-10 12:19:48,7.06,-4.5,50,90,79.17799999999997,2.12
139,tasiilaq,GL,2020-10-10 12:19:48,65.61,-37.64,75,94,34.06999999999996,15.4
140,fukue,JP,2020-10-10 12:19:48,32.69,128.84,34,82,70.21400000000003,10.27
141,klaksvik,FO,2020-10-10 12:19:48,62.23,-6.59,100,93,44.86999999999996,8.7
142,honiara,SB,2020-10-10 12:19:48,-9.43,159.95,20,100,73.66999999999996,1
143,evans,US,2020-10-10 12:19:48,33.53,-82.13,100,81,78.27799999999996,0.89
144,bluff,NZ,2020-10-10 12:19:49,-46.6,168.33,100,76,53.27599999999999,2.24
145,hobart,AU,2020-10-10 12:15:35,-42.88,147.33,75,66,52.069999999999965,3.6
146,luwuk,ID,2020-10-10 12:19:49,-0.95,122.79,91,78,77.28800000000004,2.24
147,bengkulu,ID,2020-10-10 12:19:49,-3.8,102.27,100,91,76.424,1.79
148,barrow,US,2020-10-10 12:19:49,71.29,-156.79,90,63,28.66999999999996,10.8
149,pisco,PE,2020-10-10 12:19:49,-13.7,-76.22,90,82,64.66999999999996,4.1
150,mahebourg,MU,2020-10-10 12:19:49,-20.41,57.7,40,88,75.46999999999997,1.5
151,tibiri,NE,2020-10-10 12:19:49,13.56,7.05,20,52,91.66999999999996,1.29
152,komsomolskiy,UZ,2020-10-10 12:19:49,40.43,71.72,75,87,52.069999999999965,1
153,agadez,NE,2020-10-10 12:19:50,19.75,10.25,22,13,91.34600000000006,3.52
154,cape town,ZA,2020-10-10 12:13:01,-33.93,18.42,20,54,63.266000000000005,7.7
155,zhob,PK,2020-10-10 12:19:50,31.34,69.45,0,21,71.20399999999995,3.57
156,saldanha,ZA,2020-10-10 12:19:50,-33.01,17.94,0,28,70.06999999999996,7.7
157,antalaha,MG,2020-10-10 12:19:50,-14.9,50.28,91,91,75.59600000000006,3.19
158,tadine,NC,2020-10-10 12:19:50,-21.55,167.88,32,88,72.98599999999996,7.02
159,cherskiy,RU,2020-10-10 12:19:50,68.75,161.3,89,97,20.44399999999997,1.9
160,livingston,GB,2020-10-10 12:17:23,55.9,-3.52,75,66,55.66999999999996,3.1
161,nurota,UZ,2020-10-10 12:19:50,40.56,65.69,0,46,50.26999999999996,2.1
162,colac,AU,2020-10-10 12:19:50,-38.33,143.58,93,98,45.266000000000005,1.2
163,zalantun,CN,2020-10-10 12:19:51,48,122.72,94,55,46.05800000000001,6.31
164,torbay,CA,2020-10-10 12:19:51,47.67,-52.73,75,50,53.27599999999999,12.3
165,hartselle,US,2020-10-10 12:19:51,34.44,-86.94,90,94,71.27599999999998,4.1
166,ixtapa,MX,2020-10-10 12:19:51,20.7,-105.2,5,74,88.26799999999999,1.32
167,faya,SA,2020-10-10 12:19:51,18.39,42.45,94,15,71.86999999999996,6.2
168,hovd,MN,2020-10-10 12:19:51,48.01,91.64,0,84,29.282000000000018,0.53
169,georgetown,MY,2020-10-10 12:15:10,5.41,100.34,20,88,80.86999999999996,1.5
170,bundaberg,AU,2020-10-10 12:19:51,-24.85,152.35,90,88,67.26199999999996,3.1
171,yar-sale,RU,2020-10-10 12:19:51,66.83,70.83,100,93,35.15,5.05
172,banloc,RO,2020-10-10 12:19:51,45.38,21.14,20,82,57.469999999999956,1.5
173,atuona,PF,2020-10-10 12:19:52,-9.8,-139.03,1,77,78.35,8.8
174,northam,GB,2020-10-10 12:19:52,51.03,-4.22,95,85,53.27599999999999,4.47
175,altamont,US,2020-10-10 12:19:52,42.21,-121.74,90,76,53.86999999999996,4.6
176,longyearbyen,SJ,2020-10-10 12:19:52,78.22,15.64,40,68,28.66999999999996,7.2
177,karratha,AU,2020-10-10 12:19:52,-20.74,116.85,29,69,70.01600000000002,5.96
178,souillac,MU,2020-10-10 12:19:52,-20.52,57.52,40,88,75.46999999999997,1.5
179,pemba,MZ,2020-10-10 12:19:52,-12.97,40.52,20,78,78.27799999999996,5.7
180,tuatapere,NZ,2020-10-10 12:19:53,-46.13,167.68,98,76,53.27599999999999,2.24
181,muros,ES,2020-10-10 12:19:53,42.78,-9.06,5,68,66.27200000000005,4.47
182,sioux lookout,CA,2020-10-10 12:19:53,50.1,-91.92,40,69,37.66999999999996,2.1
183,brae,GB,2020-10-10 12:19:53,60.4,-1.35,8,87,46.66999999999996,2.6
184,yellowknife,CA,2020-10-10 12:19:53,62.46,-114.35,90,93,39.469999999999956,4.1
185,los llanos de aridane,ES,2020-10-10 12:19:53,28.66,-17.92,75,73,75.46999999999997,6.2
186,san quintin,MX,2020-10-10 12:19:53,30.48,-115.95,78,69,71.20399999999995,5.66
187,prince rupert,CA,2020-10-10 12:15:28,54.32,-130.32,90,87,48.469999999999956,2.6
188,phan thiet,VN,2020-10-10 12:16:34,10.93,108.1,100,90,76.49600000000005,2.19
189,macaboboni,,,,,,,,
190,bilibino,RU,2020-10-10 12:19:54,68.05,166.44,82,93,15.475999999999988,1.01
191,gushikawa,JP,2020-10-10 12:19:54,26.35,127.87,1,94,79.06999999999996,1.5
192,cairns,AU,2020-10-10 12:19:54,-16.92,145.77,55,69,73.66999999999996,4.6
193,coihaique,CL,2020-10-10 12:19:54,-45.58,-72.07,20,47,57.469999999999956,3.6
194,fairbanks,US,2020-10-10 12:16:20,64.84,-147.72,1,79,30.272000000000038,3.6
195,richards bay,ZA,2020-10-10 12:19:54,-28.78,32.04,85,65,66.93800000000005,7.87
196,norman wells,CA,2020-10-10 12:19:54,65.28,-126.83,75,93,35.86999999999996,1.03
197,linxia,CN,2020-10-10 12:19:54,35.6,103.21,96,44,53.653999999999954,1.01
198,sao joao da barra,BR,2020-10-10 12:19:54,-21.64,-41.05,90,73,77.26999999999995,5.1
199,itarema,BR,2020-10-10 12:18:15,-2.92,-39.92,22,53,87.13399999999999,6.7
200,tete,MZ,2020-10-10 12:16:57,-16.16,33.59,40,36,95.26999999999995,5.7
201,esperance,AU,2020-10-10 12:19:55,-33.87,121.9,90,93,57.469999999999956,3.6
202,port elizabeth,ZA,2020-10-10 12:19:55,-33.92,25.57,20,71,55.66999999999996,2.6
203,kiunga,PG,2020-10-10 12:19:55,-6.12,141.29,100,98,71.56400000000004,0.84
204,poum,NC,2020-10-10 12:19:55,-20.23,164.02,0,82,75.59600000000006,3.42
205,lebu,CL,2020-10-10 12:19:55,-37.62,-73.65,25,69,53.95999999999998,7.84
206,labuhan,ID,2020-10-10 12:19:55,-6.88,112.21,95,80,79.68200000000002,3.38
207,sitka,US,2020-10-10 12:19:55,57.05,-135.33,90,81,46.66999999999996,6.7
208,zyryanka,RU,2020-10-10 12:19:56,65.75,150.85,16,91,26.456000000000028,4.22
209,raudeberg,NO,2020-10-10 12:19:56,61.99,5.14,44,83,51.27799999999996,9.42
210,bama,NG,2020-10-10 12:19:56,11.52,13.69,19,38,90.08599999999997,3.67
211,gat,IL,2020-10-10 12:16:03,31.61,34.76,0,100,79.26799999999999,3.47
212,xining,CN,2020-10-10 12:19:56,36.62,101.77,21,51,48.97400000000002,2.92
213,burica,,,,,,,,
214,port moresby,PG,2020-10-10 12:19:56,-9.44,147.18,40,88,75.46999999999997,1.5
215,new norfolk,AU,2020-10-10 12:19:56,-42.78,147.06,79,81,49.26199999999996,0.89
216,ribeira grande,PT,2020-10-10 12:19:56,38.52,-28.7,75,83,71.86999999999996,5.7
217,cidreira,BR,2020-10-10 12:19:57,-30.18,-50.21,0,54,64.4,4.7
218,bitung,ID,2020-10-10 12:19:57,1.45,125.18,40,100,75.46999999999997,0.5
219,alamosa,US,2020-10-10 12:19:57,37.47,-105.87,1,18,61.069999999999965,1.5
220,cururupu,BR,2020-10-10 12:19:57,-1.83,-44.87,17,43,91.38200000000002,3.54
221,hohoe,GH,2020-10-10 12:19:57,7.15,0.47,74,85,79.592,2.04
222,khonuu,,,,,,,,
223,trincomalee,LK,2020-10-10 12:19:57,8.57,81.23,87,76,81.71600000000001,8.49
224,butaritari,KI,2020-10-10 12:19:57,3.07,172.79,92,74,81.19399999999997,5.83
225,rungata,,,,,,,,
226,ginda,IN,2020-10-10 12:19:58,30.69,78.49,0,41,59.19800000000002,2.18
227,concarneau,FR,2020-10-10 12:19:58,47.88,-3.92,75,66,55.66999999999996,4.6
228,ponta do sol,PT,2020-10-10 12:19:58,32.67,-17.1,40,69,73.66999999999996,7.7
229,padang,ID,2020-10-10 12:19:58,-0.95,100.35,99,76,78.24199999999999,1.59
230,talnakh,RU,2020-10-10 12:19:58,69.49,88.4,88,92,19.66999999999996,4
231,faanui,PF,2020-10-10 12:19:58,-16.48,-151.75,9,79,78.63800000000005,7.49
232,bijie,CN,2020-10-10 12:19:58,27.31,105.29,83,89,54.932000000000016,0.94
233,evensk,RU,2020-10-10 12:19:58,61.95,159.23,47,86,28.00399999999995,4.58
234,moshkovo,RU,2020-10-10 12:19:58,55.31,83.61,90,100,37.66999999999996,4
235,iberia,US,2020-10-10 12:19:59,29.95,-91.75,1,78,80.27599999999998,6.7
236,darnah,LY,2020-10-10 12:19:59,32.77,22.64,16,60,72.68000000000004,6.82
237,sambava,MG,2020-10-10 12:19:59,-14.27,50.17,98,90,76.26199999999996,3.77
238,shieli,KZ,2020-10-10 12:19:59,44.17,66.75,0,47,47.19199999999999,5.33
239,taburi,,,,,,,,
240,makakilo city,US,2020-10-10 12:17:34,21.35,-158.09,1,78,79.06999999999996,2.1
241,namatanai,PG,2020-10-10 12:19:59,-3.67,152.43,99,79,79.23200000000003,2.69
242,vardo,NO,2020-10-10 12:19:59,70.37,31.11,96,85,47.80399999999995,2.12
243,hofn,IS,2020-10-10 12:20:00,64.25,-15.21,2,68,45.535999999999966,2.56
244,bambous virieux,MU,2020-10-10 12:20:00,-20.34,57.76,40,88,77.26999999999995,1.5
245,carolina,PR,2020-10-10 12:20:00,18.38,-65.96,40,79,92.26400000000004,4.1
246,kungurtug,RU,2020-10-10 12:20:00,50.6,97.52,85,86,19.382000000000016,0.66
247,barra do garcas,BR,2020-10-10 12:20:00,-15.89,-52.26,73,20,103.87400000000001,1.49
248,egvekinot,RU,2020-10-10 12:20:00,66.32,-179.17,92,96,30.2,5.82
249,liku,ID,2020-10-10 12:20:00,-0.73,119.89,100,83,75.48800000000006,0.78
250,san carlos de bariloche,AR,2020-10-10 12:15:35,-41.15,-71.31,40,40,52.069999999999965,11.8
251,peleduy,RU,2020-10-10 12:20:01,59.63,112.74,56,86,25.55600000000003,1.77
252,amazar,RU,2020-10-10 12:20:01,53.86,120.88,44,95,30.038000000000046,2.1
253,waddan,LY,2020-10-10 12:20:01,29.16,16.14,0,33,79.26799999999999,3.61
254,alexandria,EG,2020-10-10 12:09:37,31.22,29.96,40,57,79.06999999999996,4.1
255,mana,GF,2020-10-10 12:20:01,5.66,-53.78,15,63,87.65600000000003,4.72
256,algiers,DZ,2020-10-10 12:20:01,36.75,3.04,75,73,71.86999999999996,4.1
257,bethel,US,2020-10-10 12:20:02,41.37,-73.41,1,60,72.26600000000002,5.1
258,conselice,IT,2020-10-10 12:20:02,44.51,11.83,85,79,66.27200000000005,1.79
259,emba,KZ,2020-10-10 12:20:02,48.83,58.14,0,46,46.85,2.45
260,aklavik,CA,2020-10-10 12:20:02,68.22,-135.01,75,86,28.66999999999996,5.1
261,martapura,ID,2020-10-10 12:20:02,-3.42,114.85,100,91,75.05600000000004,0.81
262,cabo san lucas,MX,2020-10-10 12:17:52,22.89,-109.91,20,78,88.26799999999999,2.6
263,san pedro,PH,2020-10-10 12:18:19,14.35,121.02,90,94,79.06999999999996,3.1
264,husavik,IS,2020-10-10 12:20:03,66.04,-17.34,33,70,39.469999999999956,1
265,quthing,LS,2020-10-10 12:20:03,-30.4,27.7,0,50,50.774000000000015,3.33
266,salon,IN,2020-10-10 12:20:03,26.03,81.45,13,46,78.80000000000001,2.6
267,esfarayen,IR,2020-10-10 12:20:03,37.08,57.51,0,36,48.469999999999956,1
268,jiaojiang,CN,2020-10-10 12:20:03,28.68,121.44,8,88,65.26400000000004,1.74
269,banes,CU,2020-10-10 12:20:04,20.96,-75.72,20,52,89.86999999999996,3.1
270,encruzilhada do sul,BR,2020-10-10 12:20:04,-30.54,-52.52,0,44,64.77799999999996,1.79
271,khash,IR,2020-10-10 12:20:04,28.22,61.22,0,40,54.158,2.69
272,aleksandrovskiy zavod,RU,2020-10-10 12:20:04,50.92,117.94,100,97,32.32400000000001,3.38
273,moron,AR,2020-10-10 12:20:04,-34.65,-58.62,0,34,72.26600000000002,5.1
274,monteagudo,BO,2020-10-10 12:20:04,-19.82,-63.98,88,24,89.86999999999996,2.93
275,sorland,NO,2020-10-10 12:20:04,67.67,12.69,44,89,50.21600000000001,4.71
276,dingzhou,CN,2020-10-10 12:20:04,38.51,115,75,93,53.86999999999996,2.17
277,roma,US,2020-10-10 12:20:05,43.21,-75.46,90,53,75.46999999999997,4.6
278,mikuni,JP,2020-10-10 12:20:05,36.22,136.15,75,94,68.26999999999995,2.6
279,halalo,,,,,,,,
280,pokhara,NP,2020-10-10 12:20:05,28.23,83.98,0,69,69.98000000000005,1.45
281,kizner,RU,2020-10-10 12:20:05,56.27,51.51,78,61,47.174000000000014,3.43
282,merauke,ID,2020-10-10 12:20:06,-8.47,140.33,100,81,77.01799999999999,6.08
283,maribo,DK,2020-10-10 12:20:06,54.78,11.5,98,83,50.26999999999996,1.34
284,klamath falls,US,2020-10-10 12:20:06,42.22,-121.78,90,76,54.266000000000005,4.6
285,dauriya,RU,2020-10-10 12:20:06,49.93,116.87,100,95,31.388000000000044,10.91
286,kijang,KR,2020-10-10 12:20:06,35.24,129.21,20,72,59.26999999999996,3.1
287,rincon,US,2020-10-10 12:18:08,32.3,-81.24,90,74,83.26400000000004,4.1
288,luderitz,NA,2020-10-10 12:20:07,-26.65,15.16,0,39,65.26400000000004,13.41
289,noumea,NC,2020-10-10 12:20:07,-22.28,166.46,75,100,77.26999999999995,1
290,srednekolymsk,RU,2020-10-10 12:20:07,67.45,153.68,13,93,23.630000000000038,2.61
291,kaohsiung,TW,2020-10-10 12:20:07,22.62,120.31,20,78,79.06999999999996,2.6
292,komatipoort,ZA,2020-10-10 12:20:07,-25.43,31.95,95,63,67.26199999999996,2.1
293,katha,,,,,,,,
294,zvishavane,ZW,2020-10-10 12:20:08,-20.33,30.07,0,21,83.42599999999999,2.83
295,salta,AR,2020-10-10 12:20:08,-24.79,-65.41,11,19,80.86999999999996,5.7
296,barcelos,PT,2020-10-10 12:20:08,41.54,-8.62,0,60,73.27400000000002,4.1
297,lavrentiya,RU,2020-10-10 12:20:08,65.58,-171,100,84,35.780000000000044,4.52
298,morgan city,US,2020-10-10 12:20:08,29.7,-91.21,11,74,83.26400000000004,3.13
299,qandala,SO,2020-10-10 12:20:08,11.47,49.87,23,56,80.95999999999998,2.41
300,sovetskiy,RU,2020-10-10 12:20:08,61.36,63.58,93,92,46.20199999999998,2.91
301,iqaluit,CA,2020-10-10 12:20:08,63.75,-68.51,90,86,37.66999999999996,8.2
302,werda,BW,2020-10-10 12:20:09,-25.27,23.28,0,21,72.40999999999998,2.42
303,vaitupu,,,,,,,,
304,north myrtle beach,US,2020-10-10 12:20:09,33.82,-78.68,1,74,82.27400000000002,4.6
305,grand gaube,MU,2020-10-10 12:20:09,-20.01,57.66,4,82,77.26999999999995,1.79
